Prev,Curr.
[[ 890  598],[ 896  598]
[ 913  602],[ 926  603]
[ 948  602],[ 962  602]
[ 983  603],[ 997  602]
[1017  600],[1031  600]
[1051  599],[1064  598]
[1082  597],[1096  598]
[1115  597],[1127  596]
[1145  594],[1157  594]
[1174  593],[1178  593]
[1200  590],[1202  588]
[1189  583],[1186  581]
[1171  575],[1170  573]
[1149  567],[1146  566]
[1120  562],[1117  560]
[1092  552],[1089  550]
[1064  542],[1061  541]
[1035  532],[1031  530]
[1007  521],[1004  521]
[ 978  519],[ 974  521]
[ 949  520],[ 946  521]
[ 919  523],[ 916  522]
[ 889  525],[ 886  526]
[ 860  528],[ 859  529]
[ 863  544],[ 864  546]
[ 872  562],[ 872  564]
[ 881  580],[ 882  580]
[ 887  590],[ 888  592]
[ 887  586],[ 893  600]
[ 903  536]],[ 908  509]]
