Prev,Curr
[1219  1007],[1039  950]
[981  910],[1087  1114]
[810  883],[834  975]
[1014  1049],[965  950]
[884  841],[914  826]
[1005  933],[1018  1220]
[939  1214],[932  982]
[1021  963],[1110  1088]
[949  1070],[920  1072]
[906  1154],[1158  880]
[1128  1098],[998  1103]
[1159  836],[1140  1004]
[903  1223],[954  827]
[1241  972],[1029  1168]
[922  1123],[1236  989]
[1227  1067],[905  1180]
[1234  1071],[914  999]
[1055  1230],[834  1155]
[841  821],[866  1131]
[982  1162],[811  1120]
